rating,review,title
0,,Vivo S1 Pro 8GB/128GB
4.4,"This product is very good, apps fast running, Internet browsing speed is also faster.,কম দামের মধ্যে সন্তুষ্ট হওয়ার মত একটা ফোন।,রাতের বেলা ফ্লাস দিয়ে ফটো তুললে মনে হয় হলুদ মেখে ফটো তুলেছি। ক্যামেরা খুবই বাজে",Alcatel 3 Smartphone 5.9  - 4GB RAM - 64GB ROM
4.3,"genuine product,satisfied. screen protector R headphone thakle 100% hoto.overall thanks daraz.,Motamuti chole. Tobe phone dia kotha bole mone hoy 750tk damer phone dia kotha bolsi. khub e baje obostha. Return dite parle valo hoto.,good product",Umidigi A5 Pro - 6.3 inches FHD - Android 9 Pie - 4GB RAM - 32GB ROM - Triple Camera
4.5,"packet ar vitor duita vim shaban die ki yarki maren vai. Apnare samne paile je ami ki kortan halar po hala. Tor bebsha ami change uthaitam bkcd.,I have bought 2 items. but it seem a little bit different in features. however it is a good phone at this price. feels like an iphone. 😃,intact product, well packing only tk.6800 like exactly I-phone 10. thanks daraz..I have received golden color,just leave it. skip this one. do not buy. it will be a total waste of your money.,Good Product. Slow phone but looks nice.","Umidigi A3 - Smartphone - 5.5"" - 2GB - 16GB"
4.0,"Order kore chilam 19 jul 2019 product received kori 3-4 din por ...on kore dekhi shodho on hoye logo ta chara ar kiso asena..return korlam servicing kore diye abar pathailo akhon o same obostha...ki korte pari,বাজেটের দিক থেকে সবকিছু বিবেচনা করে এই মোবাইলটিকে ১০/১০ দেওয়াই যায় ।
আর ধন্যবাদ #দারাজকে নির্দিষ্ট সময়ের ভিতরে দেওয়ার জন্য।
কিন্তু দারাজ এর একটি কাজ আমার কাছে খুবই বিরক্তিকর লাগে 
যে আমি নির্দিষ্ট কুরিয়ার সার্ভিসের নাম দেওয়া শর্তেও নির্দিষ্ট জায়গায় পন্যটি আসে না ।
কখনো আসে পেপারফ্লাই আবার কখনও পাঠাও সার্ভিস থেকে হঠাৎ করে কল দিয়ে বলে পন্য সংগ্রহ করার জন্য তখন ত আর সবাই পন্যের উদ্দেশ্যে বসে থাকে না সকলের ই কোনো না কোনো কাজ থাকে তাই আমি #দারাজ টিমকে এই দিকটিতে নজর দেওয়ার জন্য বিশেষভাবে অনুরোধ করছি।,I am satisfied.it was first mobile order.so tnx a lot for delivery in time and authentic priduct,thanks","Umidigi A3 - Smartphone - 5.5"" - 2GB - 16GB"
4.1,"wow!! looking just Awesome!!!  I'm satisfied. outstanding mobile it is!! really awesome. mobile technology is soo rich!!,Owesome ekta phone
Tobe charge kom
jai,একদম বাজে মোবাইল। টাকা পানিতে ফেলে দেন কিন্তু Umidigi নিয়েন না। মোবাইল নেওয়ার পরই সমস্যা। একা একা অফ হয়ে যায়। দারাজ এ রিটার্ন করেছি দারাজ রিটার্ন নেয় নি। ওয়ারেন্টি ক্লেইম করতে বলেছে। নতুন মোবাইল এখনি সমস্যা। নেক্সট এ কি হবে তা ধারনা করাই যাচ্ছে।,after started this mobile my all 4k Google contacts gone within 2 days...  omg im looser. me and our IT team also tried to solve but couldn’t. it’s really a trapped Mobile.  dangerous.,ay phon kew kinben na.amk return policey te return koreci but product bck disse",Umidigi One - Smartphone- 5.9 - 4GB Ram- 32GB Rom
5.0,,Infinix Hot S3X - Smartphone - 6.2  - 4GB RAM - 64GB ROM - 13MP Camera - Aqua Blue
5.0,,"Infinix Smart 3 Plus X627 - Smartphone - 6.21"" - 2GB RAM - 32GB ROM - 13MP Camera - Mocha Brown"
5.0,"wow osthir...
awesome 👍👍","Infinix Smart 2 Pro X5514D - Smartphone 5.5"" 2GB RAM - 16GB ROM - 13MP + 8MP Camera - Sandstone Black"
5.0,,"Infinix Smart 3 Plus X627 - Smartphone - 6.21"" - 2GB RAM - 32GB ROM - 13MP Camera - Midnight Black"
4.5,"wow amazing phone 8400 taka bdt...best of the phone 2018 but fingerprint aktu slow....ar 10000 hajar takar modda j fingerprint  to nai.... she is amazing look  soft phone halka phone ...sob kicui amer kaca valo lakca,ami bes kisu din thake set a use korsi.ak kothai bolte gale best.outlook,camera,flash light,net speed,set speed,charge all everything is supppppppper.,Very good product...best in class,Best in this price point.,Best phone in this price range. little bit slow in touch response but all other is wonderful service.",Infinix Smart 2 Pro X5514D - Smartphone 5.5  2GB RAM - 16GB ROM - 13MP + 2MP Camera - Sandstone Black
4.4,,"A1 Pro - Smartphone - 5.5"" - 3GB RAM - 16GB ROM - 13MP Camera - Pitch Dark"
4.7,"Overall good but I'm totally shocked when installed GCamera on my Infinix s4. Never show full screen (full aspect ratio) view & no thermal data. It was 
my second order & bad experience from Daraz. First time I purchased Infinix Hot S3. This product was very good quality. That's why I ordered second time 
This is not fair.... 😠😠😠😠😡,অসাধারন। অনেক সুন্দর একটি মোবাইল।  Fully satisfied. 
যদিও প্রথম ওডার্র করা মোবাইল paperfly courier মেরে দিছে।,A good budget phone. Cameras are awesome. Apart from Type C charging, overall good.,প্রোডাক্টটি খুব সুন্দর হয়েছে ডেলিভারি ও খুব দ্রুত পাইছি খুব ভাল ছিল শুধু একটু হ্যাং করে",Infinix S4 - X626 Smart Phone 3GB RAM - 32GB ROM
4.7,"এই দামে ভালো একটি প্রোডাক্ট পেলাম।  
ধন্যবাদ Daraz এতো তাড়াতাড়ি ডেলিভারি দেয়ার জন্য।
সব দিক দিয়ে মোবাইল টা ভালোই পেলাম এবং মোবাইলটি অফিসিয়াল,জোস ফোন। এই দামে পানচহোল ডিস্পলে পাওয়া.ব্যাটারি ব্যাকআপ কম। পিছনে ক্যামেরা খুব ভাল না.Just got the product within 2days,জোস ফোন। এই দামে পানচহোল ডিস্পলে পাওয়া, ডিজাইন, কালার, চার্জিং সবই ওকে। ছবিতে প্রথম কয়েকটি এই ফোনের তুলা। খুব ভালো ফোন। যারা আমার মতো নর্মাল ইউজের জন্য কিনবেন ভাবছেন, নিয়ে নেন এটা।,ফালতু চার্জার এডাপটার দিছে আমাকে।
মেজাজ খারাপ হইয়া গেছে। 
আর চার্জিং স্পিড তো অনেক ভালো ফাস্ট চার্জিং সাপোর্ট করে.
 (৪-৪.৩০ ঘন্টা লাগে ফুল চার্জ হতে 😠😠😠😠)
গত ২৭/০১/২০২০ তারিখে ৩০০টাকা যাতায়াত ভাড়া দিয়া ইনফিনিক্স সার্ভিস সেন্টারে গেলাম চার্জ হয় না ঠিক করার জন্য বলছে ২ দিন পরে যেতে।২ দিন পরে গেলাম ৩০০ টাকা খরচ করে ৩০/০১/২০২০ তারিখে নিয়া আসলাম।আজ দেখি আবার সেম সমস্যা দেখা দিতাছে। কি করতাম বুজতাছি না।,this products is better of price
thanks #InfinixMobileBangladesh",Infinix S5 - X652 Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 16MP Camera
4.8,"Very Good service. Got the product in less than 24 hours of order. Great mobile with the price point. Thanks daraz for your great service.,Bhalo survice disse.. And Daraz matro 2 diner moddhe ponno ti powse dise...,Good Phone... Thanks daraz,প্রডাক্টটি অর্ডার অনুযায়ী পেয়েছি। 
ভাল মনে হয়েছে এখন পর্যন্ত।,v slow delivering system..","Infinix Hot 6 Pro X608 - Smartphone - 6"" - 3GB RAM - 32GB ROM - 13MP +2MP Camera - Black"
3.5,"product quality is not good.within one month had to go to service centre twice for touch problem.but they are not giving set replacement. very dissatisfied.,ক্যামেরা খুবই খারাপ, ক্যামেরা দেখে মনে নকল ফোন। রেয়ার ক্যামেরা যা আছে, সেলফি ক্যামেরা ভিজিএ। নকল নাকি?,gd one....😆,excellent kenar 3rd night ei set dead na chalu hoy na charge just patthor hoye ase ekhon Ami chadpure asi na pari service center e Nita na pari phone use korte total musibote asi.,very bad....",Motorola E4 Plus - Fine Gold
4.8,"খুবই দ্রুত এসে পৌঁছেছে আলহামদুলিল্লাহ। তবে সেটি 7-8 ঘন্টা যাবত কিসের এত আপডেট নিচ্ছে বুঝতে পারছি না। আর ধারণার বাহিরে অনেক গুলো সেন্সর সেটটিতে নেই। কম্পাস ভি আর এগুলো সাপোর্ট করে না। ব্যাটারি 5000 হওয়া সত্ত্বেও মনে হয় যেন দ্রুত শেষ হয়ে যায়। এমনিতে সাধারন সেট হিসেবে বেশ ভালো। অসাধারণ না,আহামরি কিছু না। বারংবার যে আপডেট নিচ্ছে তার একটা ছবি দিলাম।,Product received next day after payment. Very fast delivery & product was in perfect shape with protection.
Thanks Motorola Bangladesh & Daraz team,Reached it on time. this was my first experience with Daraz and Motorola Bangladesh. and my experiences are these guys have been really impressive and much sincere  oven their customers. My experience with Motorola E5 plus is really good. It has long lasting battery, Cameras are excellent and it runs so smoothly. Those who were used to using relatively thin handset would probably experience it heavier. Because it weighed massive. but you will alright with it soon. you will experience bored because of its frequent update knocks but further it gonna be fine soon. Having all said, I definitely recommend you guys to be in touch with Daraz and Motorola Bangladesh. Good luck guys and Thanks to Daraz and Motorola Bangladesh for such amazing experience.,In this budget good phone,better then vivo,Mi,symphoni,walton. For lite & medium user i would like to  recomand this phone.good charging backup but slow charging. all over is ok.",Motorola E5 Plus - 3GB RAM - 12MP Front Camera - Black
4.9,"awesome product.....I love this phone very much....And I also happy with this.....Thank you daraz....,It's the 3rd Infinix phone purchased from daraz and as always a great deal. ☺☺ thank's to Infinix and Daraz both. I just loved this phone. 😍😍,আম্মুর জন্য নিলাম। 
জাস্ট ওয়াও😍,It's my 2nd Hot 8 ordered on 10th November and received on 12th November. As always a great deal with Infinix and Daraz. Thanks a lot. Happy Shopping!! 😊😊,কোন কথা হবে না চোখ বুঝে ওটা দিতে হবে আমি দশের ভিতর বিশ দিলাম আপনারা কেউ মনে করলে কিনতে পারেন ।আমি সম্পূর্ণ ইনটেক পাইছি ধন্যবাদ দারাজ কে এবং ধন্যবাদ জানাই ইনফিনিক্স অফিশিয়াল স্টোর কে",Infinix Hot 8 (X650C) - Smartphone - 6.6inch - 4GB RAM - 64GB ROM - 13MP Camera
4.8,"we received 3days.but i want to communicate with seller but slow responding.,Excellent quality packaging and prompt delivery. Good value for money. Very highly recommended.,Phone is good but delivery was more than horrible.
it took nearly 2 weeks to be delivered,বাজেট অনুযায়ি ফোন ঠিকই আছে। কিন্তু শিপিং এ সময় নিয়েছে ১০দিন।,Good product; service is fine...authentic seller as well...",Vivo Y11 - 3GB/32GB Smartphone
0,,Moto E5 Smartphone - 5.7 inches - 2GB RAM - 16GB ROM - 13MP Camera
4.8,"its was really good products.... i really enjoyed 
Thanks,Stock android bole niyechilam.
Kinto performance j eto jogonno hbe vabini.
Asole Mediatek processor kknui valo kichu noy.
R ei brand er kuno parts/cover kicchu deshe pawa jayna.
Horrible brand,nice color give me..thanks,product ভালো but কদিন use করার পর অনেক slow হয়ে যায় অন্যান্য কমদামি সেট গুলোর মতো।  সেট টা বিক্রি করে Redmi Note 7 pro কিনবো বা note 8,good but camera!!!!","Infinix Note 5 X604 - Smartphone - 6"" - 3GB RAM – 32GB ROM - 16MP + 12MP Camera – Grey"
4.7,"Awesome 😍
Thanks to Daraz & Motorola. just 3 day in delivery.,Eitar White colour ta Joss. Je keu dekle ekbar takabe. Amar friend circle e dui jon kinse eita dekhe. 13000 takay eita Joss deal.,Excellent service received within timeline and product is genuine as described ... but no warranty document provided ... don’t know how to clam warranty service !!!$,the product was as good as described,  got the product within 3 days. thank you fully satisfied.,Chokh bondho kore Kinte paren.  Vai ei Price e Motorola.  
Thanks Daraz,  1 din e product paisi",Motorola One - 5.9 inches - 4GB RAM - 64GB ROM - 13 MP Camera Smartphone
4.9,"Extraordinary Battery life, I love it. 5h+ youtube, 4h+ play, 2h+ PUBG, 1h+ others but One full day battery backup (1 day+ 3 hours)....In the other sections like camera, processor, speed etc. are average.,I ordered this phone with a slight amount of hesitation but when I used this phone a day or two, I was really blown away . This phone has a damn mysterious battery life. I don't understand how can it last so long. 
This phone rocks 👍👍🤪",Motorola Moto G7 Power - 6.2  - 4 GB RAM - 64 GB ROM - 8MP + 12MP Camera - Ceramic Black
4.5,"I don't no what's wrong with motorola. Worst camera experience. I will not recommend motorola E6 at all. But good service from Daraz. For Motorola its 2*, For Daraz 5*.,very good product,Good product....",Motorola E6 Plus Smartphone 6.1  4 GB RAM - 64 GB ROM - Polished Graphite
5.0,"Thanks Daraz,for on time delivered.
I am really very ☺ . actual perl white colour received.
4/128 ,Motorola One Action performance is really awesome.,Wow, This phone is Awesome. One Handed use er jonno Best . Grip kore onek Moja. Eta dhorar por onno pn onek mota lage. I will recommend this this without any hesitation.,I have gift this to my younger Bro. He very happy with performance. Motorola is still best choice. Brand Value MI, Tecno, VIVO,OPPO r ceye onek besi .,একটু বেশি জোস , ধরে অনেক মজা. স্টাইলিশ ও , কিন্তু সাওমি লাভার রা এগুলির মজা বুজবে না . ডিসপ্লে টা বেশি জোস্ , কালার রিপ্রোডাক্শন ও ভালো .",Motorola One Action Mobile Phone - Denim Blue
0,,Vivo Y19 - 6.53 inches - 6GB RAM - 128GB ROM - 16MP+8MP+2MP Camera Smartphone
0,,Xiaomi Redmi Note 8T
5.0,"Received in good condition. Till now all okay. Official Xiaomi product.,This is too good 🙂",Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera
0,,Mi 8 Lite 24MP Selfie Camera - 4GB RAM - 64GB ROM - Aurora Blue
4.8,"Everything is alright..,Full fresh brand new. Good packaging. No complaint on product. but the delivery boy should be professional. He did not take my signature. The proof showing on app is not mine.,After Waiting 18 Days....Still Not Recived 🤔 But Daraz Show me ""Delivered "" Today 😠 What a same 🤥 What To Do Now?,খুব দ্রুত হাতে পেয়েছি কোয়ালিটি প্যাকেজিং কোয়ালিটি খুব ভালো,খুবই অল্প সময়ের ভিতর হাতে পেয়েছি",Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera
4.9,"good one.... delivery first...redmi 8 call recording option nai...miui10....
tnq daraz....,Thank you so much Daraz. I got this product in 11.11 within 2 days. My mom will love this product❤️ its a gift for her birthday🎊🎉🎁,ami ai mobile ta amar baba ke gift disi .
amar baba ata pay onek happy,Really authentic product also fast delivery... 
full satisfaction,very fast delivery... good packing with attractive colour..",Redmi 8 - 6.22inches - 3GB RAM - 32GB ROM - 8MP Front Camera
0,,Redmi Note 6 Pro Quad Camera All-Rounder 4+64GB - Black
5.0,"good phone,Fast shipping . Good packaging. Original product. Fully satisfied.

Highly recommended!",Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera
0,,Xiaomi Redmi K20 Pro
5.0,"using 7 days and its original, good quality product.,Ekdom Intact peyechi# Thanks daraz😍😎🙂",Redmi Y3 Smartphone 6.26  - 4GB RAM - 64GB ROM - 32MP Selfie Camera
