content,current_date,date,rating,reviewer_name,title,total_rating
Good Product with convenient price.. Good Service Deliver... ,2020/02/27,17 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
product ta onk vlo.  amr onk soto khato kaje help hoche.,2020/02/27,16 Sep 2019,5,Sazzad H.,31 In 1 Screw Driver Set - Yellow and Red,4.2
oohh i just loved it in this price range!! recommended ,2020/02/27,25 Jul 2019,5,Ashik F.,31 In 1 Screw Driver Set - Yellow and Red,4.2
এত কম দামে এর চেয়ে ভালো জিনিস আর কি-ই বা হতে পারে।,2020/02/27,22 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
good product but baka hoye jay. delivered on time.,2020/02/27,11 Sep 2019,4,Shahriar A.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Quality is not that good. But I can work with it.,2020/02/27,27 Jul 2019,3,Arman I.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Available within 100 tk in market.Not satisfied.,2020/02/27,02 Oct 2019,1,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Driver rod is small. However compare with price,2020/02/27,29 Aug 2019,4,Md ..,31 In 1 Screw Driver Set - Yellow and Red,4.2
খুব ই ভাল জিনিস... অনেক উপকারী... ধন্যবাদ... ,2020/02/27,14 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
aktu soto size bt dam hisebe khubi valo...,2020/02/27,30 Jul 2019,4,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
"Accordkng to price, it's really good! ",2020/02/27,16 Sep 2019,5,Shirajul I.,31 In 1 Screw Driver Set - Yellow and Red,4.2
khub e valo..fully satisfied 😀🎁💆🤸,2020/02/27,06 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
দামের তুলনায় প্রোডাক্ট কি খুব ই ভালো,2020/02/27,13 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Valo na bit gula ekyee rokom 6/7 ta,2020/02/27,18 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
onk valo... ar onk tartari paisi.,2020/02/27,15 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Great product 😍 Thanks daraz ,2020/02/27,12 Sep 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
আমার প্রোডাক্ট টা ভালই লাগেছে,2020/02/27,16 Feb 2019,5,Sumon S.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Good product in this price...,2020/02/27,03 Feb 2019,5,Shad R.,31 In 1 Screw Driver Set - Yellow and Red,4.2
অনেক সুন্দর প্রডাক্ট। Thanks,2020/02/27,24 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Seems okay with this price. ,2020/02/27,05 Aug 2019,4,Amir H.,31 In 1 Screw Driver Set - Yellow and Red,4.2
satisfied with the product.,2020/02/27,06 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
"Good products
Thanks daraz",2020/02/27,03 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Price onujayi valo product,2020/02/27,10 Sep 2019,4,S. M.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Product is decent enough.,2020/02/27,22 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
As price got expected one,2020/02/27,12 Sep 2019,4,Shovon B.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Good compared to price ,2020/02/27,10 Sep 2019,4,M A.,31 In 1 Screw Driver Set - Yellow and Red,4.2
good products .. (99%),2020/02/27,12 Mar 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
সব ঠিকঠাক মতো পেয়েছি।,2020/02/27,27 Sep 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
very good product 😍,2020/02/27,30 Aug 2019,5,Hasin H.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Khub Akta VAlo Noy,2020/02/27,4  weeks ago,2,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Very good product.,2020/02/27,24 Sep 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
"বাজে একটা টুলস, ",2020/02/27,04 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
for baby works ,2020/02/27,12 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
very essential.,2020/02/27,10 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
its good enough,2020/02/27,15 Sep 2019,5,jahidul I.,31 In 1 Screw Driver Set - Yellow and Red,4.2
nice product..,2020/02/27,01 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Quality so so ,2020/02/27,13 Mar 2019,1,Abu A.,31 In 1 Screw Driver Set - Yellow and Red,4.2
জিনিস টা ভালো,2020/02/27,23 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
হুম ভালো ছিল ,2020/02/27,08 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Good product ,2020/02/27,14 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
nice product ,2020/02/27,11 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
valo product ,2020/02/27,27 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
ভাল প্রডাক্ট ,2020/02/27,01 Sep 2019,5,munir K.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Good product,2020/02/27,04 Dec 2019,5,Md. A.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Not so good.,2020/02/27,16 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
It's OK....,2020/02/27,20 Sep 2019,4,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
nice.......,2020/02/27,03 Sep 2019,5,shahidulislam S.,31 In 1 Screw Driver Set - Yellow and Red,4.2
workable।।।।।,2020/02/27,15 Mar 2019,5,Md I.,31 In 1 Screw Driver Set - Yellow and Red,4.2
Great according to the price....,2020/02/27,23 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
valo chole,2020/02/27,27 Dec 2018,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
খুবই আনন্দিত।,2020/02/27,22 Feb 2019,5,riad,31 In 1 Screw Driver Set - Yellow and Red,4.2
Very Good,2020/02/27,11 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
very good,2020/02/27,07 Sep 2019,5,shamima H.,31 In 1 Screw Driver Set - Yellow and Red,4.2
so good,2020/02/27,20 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Average,2020/02/27,10 Nov 2019,4,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
very gd,2020/02/27,07 Sep 2019,5,Nasima K.,31 In 1 Screw Driver Set - Yellow and Red,4.2
goood ,2020/02/27,3  weeks ago,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
good ,2020/02/27,23 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
Great,2020/02/27,25 Oct 2019,5,Syed M.,31 In 1 Screw Driver Set - Yellow and Red,4.2
"good
",2020/02/27,25 Aug 2019,2,MD.Sohan,31 In 1 Screw Driver Set - Yellow and Red,4.2
good,2020/02/27,22 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
good,2020/02/27,15 Oct 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
ভালো,2020/02/27,19 Sep 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
baje,2020/02/27,17 Jul 2019,5,Raffain R.,31 In 1 Screw Driver Set - Yellow and Red,4.2
gd,2020/02/27,12 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,3  days ago,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,4  days ago,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,5  days ago,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,7  days ago,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,1  week ago,3,Md. M.,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,2  weeks ago,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,3  weeks ago,3,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,3  weeks ago,3,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,4  weeks ago,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,24 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,21 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,16 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,14 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,13 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,12 Jan 2020,1,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,11 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,08 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,06 Jan 2020,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,29 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,22 Dec 2019,2,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,18 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,12 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,09 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,07 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,04 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,01 Dec 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,28 Nov 2019,4,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,26 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,24 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,21 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,19 Nov 2019,4,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,19 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
,2020/02/27,17 Nov 2019,5,Daraz Customer,31 In 1 Screw Driver Set - Yellow and Red,4.2
